Date	RMRF	SMB		HML		RF
201103    0.48    2.59   -1.19    0.01
201104    2.90   -0.30   -2.27    0.00
201105   -1.27   -0.66   -2.14    0.00
201106   -1.75   -0.08   -0.45    0.00
201107   -2.34   -1.44   -1.12    0.00
201108   -6.00   -3.29   -1.46    0.01
201109   -7.60   -3.71   -0.91    0.00
201110   11.34    3.57   -1.02    0.00
201111   -0.26   -0.25   -0.10    0.00
201112    0.74   -0.55    1.54    0.00
201201    5.06    2.53   -2.21    0.00
201202    4.43   -1.61   -0.03    0.00
201203    3.11   -0.22   -0.03    0.00
201204   -0.84   -0.61   -0.19    0.00
201205   -6.20   -0.09    0.17    0.01
201206    3.88    0.83    0.39    0.00
201207    0.79   -2.57   -0.02    0.00
201208    2.56    0.73    0.56    0.01
201209    2.74    0.45    1.59    0.01
201210   -1.75   -1.04    4.08    0.01
201211    0.77    0.67   -1.14    0.01
