"symbol","positions","cost","close","returns","value","weight","weighted.returns"
"BP",184.235,43.85,43.93,0.00182440136830099,8093.44355,0.0441476114738501,8.05429627801124e-05
"C",309.407,33.41,42.91,0.284346004190362,13276.65437,0.0724206668247354,0.020592527232415
"FSHCX",333.826,49.18,60.18,0.223668157787719,20089.64868,0.109583763584882,0.0245103985244754
"FUSVX",462.121,37.64,53.25,0.414718384697131,24607.94325,0.134229875214432,0.0556675970270268
"GLD",69,147.27,160.65,0.0908535343247097,11084.85,0.0604649489457311,0.0054934543144828
"IVV",703.514,130.0425,150.92,0.160543668416095,106174.33288,0.579153133956369,0.0929793687000335
